collection,test_name,solver,k,n,cost_mean,cost_stdev,time_mean,time_stdev
neos-guide,3,sfw,1,100,660.08,38.65324824642814,0.17252467155456544,0.02764974468179638
neos-guide,3,sfw,3,100,634.72,13.033863586826431,0.5071810698509216,0.0425330187251201
neos-guide,3,sfw,10,100,628.32,3.183959798741183,1.7499532961845399,0.11399424638893191
neos-guide,3,tos,1,100,643.04,25.681869090858633,0.007472093105316162,0.002134514102073957
neos-guide,3,tos,3,100,629.28,6.270693741524935,0.023033902645111085,0.003650764735296078
neos-guide,3,tos,10,100,628.0,0.0,0.07490630626678467,0.007422077691807626
neos-guide,7,sfw,1,100,2487.26,157.37437021319576,0.05734322071075439,0.021009376698561212
neos-guide,7,sfw,3,100,2393.18,84.96027071519957,0.17633439540863038,0.037970558710821646
neos-guide,7,sfw,10,100,2324.08,14.880645147304602,0.5889168334007263,0.08077182326215925
neos-guide,7,tos,1,100,2406.36,119.49305586518408,0.04771884202957153,0.018181871514499882
neos-guide,7,tos,3,100,2324.24,14.453456334039968,0.14054064989089965,0.03079776161851228
neos-guide,7,tos,10,100,2320.56,5.571929647797072,0.4857464241981506,0.08333862656451713
neos-guide,2,sfw,1,100,854.56,65.17182213196129,0.24788494110107423,0.03484954677691488
neos-guide,2,sfw,3,100,808.68,26.284931044231406,0.7405063033103942,0.05982745873425434
neos-guide,2,sfw,10,100,793.0,11.924764148611073,2.4785232090950013,0.12726056661259744
neos-guide,2,tos,1,100,813.36,29.085914116630406,0.0037492895126342773,0.0009651299275094346
neos-guide,2,tos,3,100,797.16,17.90012290460599,0.01148371934890747,0.001798798171784717
neos-guide,2,tos,10,100,790.0,0.0,0.03868345737457275,0.0034952402446440114
neos-guide,1,sfw,1,100,20.0,0.0,0.09863039255142211,0.003323416270595363
neos-guide,1,sfw,3,100,20.0,0.0,0.29545422554016115,0.013321409354314095
neos-guide,1,sfw,10,100,20.0,0.0,1.0388515090942383,0.10939421038926923
neos-guide,1,tos,1,100,20.0,0.0,0.008885104656219483,0.0006973485045699678
neos-guide,1,tos,3,100,20.0,0.0,0.026286401748657227,0.0015608745283873858
neos-guide,1,tos,10,100,20.0,0.0,0.08890066862106323,0.009346566224125668
neos-guide,5,sfw,1,100,1165.74,171.56448466975908,0.15735719919204713,0.07290765100408671
neos-guide,5,sfw,3,100,1017.9,74.6556762744803,0.45842576026916504,0.12883565206436523
neos-guide,5,sfw,10,100,972.18,31.85478927885099,1.5000518822669984,0.1909227204334833
neos-guide,5,tos,1,100,1029.56,81.80150609860434,0.020533905029296876,0.0064177995851777215
neos-guide,5,tos,3,100,978.08,32.39125807992027,0.062160775661468506,0.014823993213452362
neos-guide,5,tos,10,100,953.06,16.995187554128375,0.20669174671173096,0.023025084655428747
neos-guide,4,sfw,1,100,673.56,34.8741508857205,0.14984784364700318,0.039964581926374414
neos-guide,4,sfw,3,100,646.0,25.279240494919936,0.4794331622123718,0.12895264433955553
neos-guide,4,sfw,10,100,630.92,13.110057208113167,1.7907458853721618,0.5209533955428207
neos-guide,4,tos,1,100,677.66,29.113646284860987,0.04022049427032471,0.01905870603430556
neos-guide,4,tos,3,100,655.52,14.308375169808762,0.12459387063980103,0.03480998486984138
neos-guide,4,tos,10,100,647.08,9.008529291732362,0.4479111695289612,0.08564925285380581
neos-guide,6,sfw,1,100,1961.48,102.01984904909436,0.14315510272979737,0.034973638641455036
neos-guide,6,sfw,3,100,1894.26,47.95052033085773,0.4799244523048401,0.08810816400586542
neos-guide,6,sfw,10,100,1861.3,39.93832745621679,1.5532440400123597,0.2548024085290404
neos-guide,6,tos,1,100,1916.24,104.76918630971609,0.05056803941726685,0.019844391227573994
neos-guide,6,tos,3,100,1858.28,50.54187966429424,0.17610121965408326,0.03820348935710399
neos-guide,6,tos,10,100,1813.96,17.90861245323043,0.4869376802444458,0.0758527250329372
