collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,tai12b,sfw,1,1,58713074.0,0.0,39464925,0.4877280015102018,57648164.6297644,3.722040456365961,4.47213595499958,1.4239166832811208,0.0006129741668701172,0.0,6.0,6.0,6.0,False,0.0
qaplib,tai12b,tos,1,1,50311763.0,0.0,39464925,0.2748475513383086,46677934.2220424,3.7496611420981623,4.69041575982343,2.4984098477416157,0.12483692169189453,0.0,2351.0,2351.0,2351.0,False,2.093094083788618e-06
qaplib,esc32c,sfw,1,1,648.0,0.0,642,0.009345794392523364,595.9345632514994,7.267512666729012,7.874007874011811,3.013855211512153,0.14211082458496094,0.0,891.0,891.0,891.0,False,0.0
qaplib,esc32c,tos,1,1,642.0,0.0,642,0.0,596.859313807207,6.127679058300092,7.874007874011811,4.614563578497932,0.41138434410095215,0.0,5542.0,5542.0,5542.0,False,1.5005085239407546e-05
qaplib,kra30a,sfw,1,1,93270.0,0.0,88900,0.049156355455568054,92169.77237411651,7.188162442680901,7.615773105863909,2.0474787197819,0.036582231521606445,0.0,173.0,173.0,173.0,False,0.0
qaplib,kra30a,tos,1,1,94190.0,0.0,88900,0.05950506186726659,92363.12422410978,6.817157365192016,7.615773105863909,2.9450470046982984,0.34055089950561523,0.0,4588.0,4588.0,4588.0,False,2.5437309526613484e-05
qaplib,kra30b,sfw,1,1,94210.0,0.0,91420,0.03051848610807263,92551.38824009492,6.933577425848232,7.483314773547883,2.2530882460548316,0.04471182823181152,0.0,207.0,207.0,207.0,False,0.0
qaplib,kra30b,tos,1,1,93910.0,0.0,91420,0.027236928462043317,92255.01565001823,6.30414857876628,7.211102550927978,3.1994934306351923,0.31235194206237793,0.0,3878.0,3878.0,3878.0,False,1.2157404915617812e-05
qaplib,sko100a,sfw,1,1,153560.0,0.0,152002,0.01024986513335351,153456.26484049862,13.182694680244659,13.92838827718412,3.321980504460032,0.21110773086547852,0.0,36.0,36.0,36.0,False,0.0
qaplib,sko100a,tos,1,1,154106.0,0.0,152002,0.013841923132590361,154214.6298028392,11.08734283041403,14.0,7.781257560906588,4.01001501083374,0.0,6732.0,6732.0,6732.0,False,5.930103031141297e-06
