collection,test_name,solver,k,n,stop_tol,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,tai12b,sfw,1,3,0.0001,45845551.666666664,2031285.7150639566,39464925,0.16167841866332355,40931658.79266862,4.008895041888898,4.468397467314098,1.685110112385076,0.13533552487691244,0.020162203392647404,1280.6666666666667,1280.6666666666667,1280.6666666666667,False,0.0
qaplib,tai12b,tos,1,3,0.0001,41703450.333333336,2160308.605822377,39464925,0.05672189503295232,38503493.1254039,2.8453348308825555,2.3570226039551585,2.0809114044970163,0.13533894220987955,0.03938115126254695,1860.0,1860.0,1860.0,False,7.944774792054524e-05
qaplib,esc32c,sfw,1,3,0.0001,642.6666666666666,0.9428090415820634,642,0.0010384215991692037,595.1633736485002,7.23660423462433,7.873324855475548,3.0037665502820725,0.14991362889607748,0.010071902854355014,836.0,836.0,836.0,False,0.0
qaplib,esc32c,tos,1,3,0.0001,642.6666666666666,0.9428090415820634,642,0.0010384215991692037,597.5771753028768,6.248411709625375,7.958002624670603,4.675486391254783,0.5575153827667236,0.09705051485055309,5426.333333333333,5426.333333333333,5426.333333333333,False,3.15240839152322e-05
qaplib,kra30a,sfw,1,3,0.0001,94443.33333333333,575.5770051773167,88900,0.06235470566179222,92551.80606730317,6.958838876343734,7.7025688302311925,2.662131083283881,0.08376399676005046,0.02260099728677925,281.6666666666667,281.6666666666667,281.6666666666667,False,0.0
qaplib,kra30a,tos,1,3,0.0001,92663.33333333333,695.2377690801583,88900,0.0423322084739407,90731.02465755345,6.6811329083856945,7.567678645252549,2.9603065248484626,0.643168052037557,0.1531849706313513,5997.666666666667,5997.666666666667,5997.666666666667,False,2.5567586457429624e-05
qaplib,kra30b,sfw,1,3,0.0001,94493.33333333333,1068.7167798605744,91420,0.033617734995989156,92693.60178122732,6.755784837813781,7.43673014344659,2.686810840819673,0.04430683453877767,0.015340290276414733,208.66666666666666,208.66666666666666,208.66666666666666,False,0.0
qaplib,kra30b,tos,1,3,0.0001,94030.0,616.0086579478138,91420,0.028549551520455043,92486.36253471133,6.5227318390398565,7.391781628380474,3.2022519172287627,0.42276636759440106,0.07909752498001484,4605.0,4605.0,4605.0,False,6.057009379202558e-05
qaplib,sko100a,sfw,1,3,0.0001,153416.66666666666,788.2847765172742,152002,0.009306895084713733,153323.9988497482,13.164849609506554,13.999878518884804,3.3165596999429336,0.32068777084350586,0.06702176974632991,53.0,53.0,53.0,False,0.0
qaplib,sko100a,tos,1,3,0.0001,153636.66666666666,600.6248598103663,152002,0.010754244461695615,153583.39860351782,10.839447885804875,13.903411042637131,7.911230453085598,4.116705576578776,0.17120426570410083,5784.333333333333,5784.333333333333,5784.333333333333,False,4.893382057567561e-06
qaplib,esc16i,sfw,1,3,0.0001,15.333333333333334,0.9428090415820634,14,0.09523809523809527,11.9357525509878,4.923354579588222,5.353410273103342,1.5850174903095844,0.10257196426391602,0.14216830121499427,877.0,877.0,877.0,False,0.0
qaplib,esc16i,tos,1,3,0.0001,14.0,0.0,14,0.0,11.477391576040036,4.6608965752354585,5.475194148891075,2.779594299156457,0.07153590520222981,0.00985203595469206,1008.3333333333334,1008.3333333333334,1008.3333333333334,False,8.06569791302748e-06
qaplib,esc128,sfw,1,3,0.0001,65.33333333333333,0.9428090415820634,64,0.02083333333333326,54.54857003685118,15.423246211604551,15.916420922468667,3.5393395487626598,5.117655595143636,0.6535758548525749,1980.6666666666667,1980.6666666666667,1980.6666666666667,False,0.0
qaplib,esc128,tos,1,3,0.0001,70.66666666666667,3.7712361663282534,64,0.10416666666666674,63.857211304159,11.724828977094427,15.937295105632257,10.670718748693231,8.185289859771729,2.4730646533401313,5872.0,5872.0,5872.0,False,3.668301647082994e-05
qaplib,chr15a,sfw,1,3,0.0001,15254.666666666666,2623.470644436911,9896,0.5414982484505524,12210.898255731983,4.715520734935995,5.026979298515132,1.579984825603738,0.245955228805542,0.03709291809011048,2216.6666666666665,2216.6666666666665,2216.6666666666665,False,0.0
qaplib,chr15a,tos,1,3,0.0001,13466.0,1007.4760543060069,9896,0.360751818916734,11635.989381600079,4.9271642308975165,5.291502622129181,1.6486890363266078,0.19327386220296225,0.07438165746605532,2750.3333333333335,2750.3333333333335,2750.3333333333335,False,4.124844218448515e-05
qaplib,lipa40a,sfw,1,3,0.0001,32106.666666666668,64.20972581228555,31538,0.018031158179550633,31465.52638894725,7.220039604906187,8.869264547551618,4.586181910679361,0.1799015998840332,0.026712812795505362,446.6666666666667,446.6666666666667,446.6666666666667,False,0.0
qaplib,lipa40a,tos,1,3,0.0001,32115.333333333332,13.199326582148887,31538,0.01830595894899271,31502.11019616049,6.705346488716221,8.557865719348385,4.93689214298321,0.8718392848968506,0.10643878343925643,7103.0,7103.0,7103.0,False,4.005122502098834e-06
qaplib,chr20b,sfw,1,3,0.0001,3257.3333333333335,467.10550794821035,2298,0.41746446185088487,2942.3845680830655,5.375578343565498,5.71135994151468,1.72699910570912,0.1234743595123291,0.08774772209011336,1033.6666666666667,1033.6666666666667,1033.6666666666667,False,0.0
qaplib,chr20b,tos,1,3,0.0001,2883.3333333333335,79.01617274682161,2298,0.2547142442703801,2616.296437147238,5.723934622396023,6.10818510677892,1.7229461684797032,0.2623513539632161,0.030702197510655824,3441.6666666666665,3441.6666666666665,3441.6666666666665,False,3.369418952736596e-05
qaplib,scr15,sfw,1,3,0.0001,56539.333333333336,875.8574211720891,51140,0.10557945509060102,52410.21627653501,4.347389739719317,4.756698308710764,1.5453269498881348,0.09223341941833496,0.010556730745211646,822.6666666666666,822.6666666666666,822.6666666666666,False,0.0
qaplib,scr15,tos,1,3,0.0001,56287.333333333336,1434.4981313647254,51140,0.10065180550123848,51850.930236324006,4.049412046237955,4.227661525654452,1.7297059984283882,0.16750017801920572,0.013852708074585872,2395.6666666666665,2395.6666666666665,2395.6666666666665,False,4.8041187832089905e-05
qaplib,esc16h,sfw,1,3,0.0001,999.3333333333334,4.714045207910316,996,0.003346720214190132,850.7732654505617,4.753388300322412,5.475194148891075,2.7607961819455373,0.18995308876037598,0.010812389812407213,1717.0,1717.0,1717.0,False,0.0
qaplib,esc16h,tos,1,3,0.0001,1034.0,46.847269575362304,996,0.03815261044176707,890.4170046748069,4.5234237098329,5.5969780246788075,2.9841879506543605,0.22064661979675293,0.09188810927408478,3195.6666666666665,3195.6666666666665,3195.6666666666665,False,5.7922207786039804e-05
qaplib,tai25b,sfw,1,3,0.0001,367011894.0,16768002.471092077,344355646,0.06579316547636917,362025775.0244024,5.580035578788023,6.235694061988416,2.6057973490554063,0.019046227137247723,0.011612669080965329,113.33333333333333,113.33333333333333,113.33333333333333,False,0.0
qaplib,tai25b,tos,1,3,0.0001,347161238.3333333,468215.4692078804,344355646,0.008147368471877222,342256293.25662315,3.9473575604727205,4.617655824882147,3.520945647881579,0.38646777470906574,0.002327847381456929,4124.0,4124.0,4124.0,False,2.0841264163701143e-05
qaplib,had16,sfw,1,3,0.0001,3733.3333333333335,3.7712361663282534,3720,0.0035842293906810443,3649.088734587534,4.077588603702293,4.925936704707506,2.68862068053969,0.05404369036356608,0.014045531914527894,256.3333333333333,256.3333333333333,256.3333333333333,False,0.0
qaplib,had16,tos,1,3,0.0001,3730.6666666666665,3.7712361663282534,3720,0.002867383512544762,3649.0591958301557,4.04448937522073,4.925936704707506,2.765321525906881,0.2653779983520508,0.07718831508460308,2682.6666666666665,2682.6666666666665,2682.6666666666665,False,5.357296552431856e-06
qaplib,rou15,sfw,1,3,0.0001,373768.6666666667,13152.305889927522,354210,0.055217714538456523,361089.32977373526,4.3433083956462575,4.813559904768285,1.4297636408071377,0.046801487604777016,0.029621200894011164,408.0,408.0,408.0,False,0.0
qaplib,rou15,tos,1,3,0.0001,371197.3333333333,6886.922357305588,354210,0.047958367446806455,362840.01057281526,4.7234402900270736,5.096500540429441,1.3593613222281382,0.26411954561869305,0.12059020024827195,3716.6666666666665,3716.6666666666665,3716.6666666666665,False,1.2694865042177852e-05
qaplib,tai15b,sfw,1,3,0.0001,346275342.0,200645.25332204264,51765268,5.689337375786406,346058899.3536568,4.809047708574579,5.35341027310334,1.7573979049090165,0.002410888671875,0.0007312027162622208,15.666666666666666,15.666666666666666,15.666666666666666,False,0.0
qaplib,tai15b,tos,1,3,0.0001,53901384.0,272632.38120712416,51765268,0.041265429167680535,54362777.862067215,3.5959339277930353,5.0990195135927845,3.505366153348723,0.005608479181925456,0.0004904118654919665,69.33333333333333,69.33333333333333,69.33333333333333,False,0.0006795616155072011
qaplib,esc32b,sfw,1,3,0.0001,178.66666666666666,15.084944665313014,168,0.06349206349206343,175.84144014364597,7.743444268021648,7.873324855475548,0.6506398002800277,0.02449933687845866,0.032391533252112636,141.33333333333334,141.33333333333334,141.33333333333334,False,0.0
qaplib,esc32b,tos,1,3,0.0001,192.0,0.0,168,0.14285714285714285,189.83091626277212,7.013295113425106,7.873324855475548,3.140548904740078,0.2364347775777181,0.0420899619414094,2519.0,2519.0,2519.0,False,7.277511183911979e-05
qaplib,esc16g,sfw,1,3,0.0001,30.666666666666668,2.494438257849294,26,0.17948717948717954,29.075003869266272,5.218866990449176,5.537101799865234,1.319629977296321,0.0847013791402181,0.01045168667295434,768.3333333333334,768.3333333333334,768.3333333333334,False,0.0
qaplib,esc16g,tos,1,3,0.0001,27.333333333333332,0.9428090415820634,26,0.05128205128205124,26.333624917909713,4.446708724169679,5.353410273103342,2.7361092207906417,0.12607630093892416,0.023195980904249795,1795.6666666666667,1795.6666666666667,1795.6666666666667,False,3.220806067457573e-05
qaplib,sko42,sfw,1,3,0.0001,15989.333333333334,52.16214037871614,15812,0.01121511088624677,15938.263364315755,8.525497004366345,9.091524896607504,2.2139220572172866,0.027852455774943035,0.004641094777757823,75.0,75.0,75.0,False,0.0
qaplib,sko42,tos,1,3,0.0001,16106.0,46.676189504571454,15812,0.018593473311409058,16004.92825679943,7.7384741909720125,9.054021215383734,3.8712081327129737,0.5604325930277506,0.027845814311657932,4804.666666666667,4804.666666666667,4804.666666666667,False,8.85184095881581e-06
qaplib,lipa30a,sfw,1,3,0.0001,13497.666666666666,14.38363267359428,13178,0.02425760105225877,13136.207966898239,6.0365137454010975,7.433449759276065,3.947191269257285,0.1702714761098226,0.05809199013326374,643.3333333333334,643.3333333333334,643.3333333333334,False,0.0
qaplib,lipa30a,tos,1,3,0.0001,13417.666666666666,75.825823804002,13178,0.01818687711842966,13122.378398911727,5.177769411143228,6.226388864799747,3.8544637060406206,0.6334517002105713,0.014811804699699836,6283.666666666667,6283.666666666667,6283.666666666667,False,1.4549826615689076e-05
qaplib,had18,sfw,1,3,0.0001,5390.0,0.0,5358,0.0059723777528928705,5277.579560216818,3.6469033328921063,4.77207775636129,2.9422512366661517,0.03344480196634928,0.002510656696284247,260.0,260.0,260.0,False,0.0
qaplib,had18,tos,1,3,0.0001,5379.333333333333,7.542472332656507,5358,0.00398158516859519,5280.994624599553,4.222243219348498,5.301514825603296,2.9604911223975843,0.20238661766052246,0.01143249900242205,2773.3333333333335,2773.3333333333335,2773.3333333333335,False,4.6899364820664016e-07
qaplib,lipa20b,sfw,1,3,0.0001,29512.0,1753.9663622772246,27076,0.08996897621509824,29290.162691828853,3.5178372136340776,3.8292687147792273,1.099496465184817,0.02209305763244629,0.015686577792652506,169.33333333333334,169.33333333333334,169.33333333333334,False,0.0
qaplib,lipa20b,tos,1,3,0.0001,27076.0,0.0,27076,0.0,27082.211961145684,0.002895991700348258,0.0,0.002895991700348258,0.09161059061686198,0.05034907746566916,1181.6666666666667,1181.6666666666667,1181.6666666666667,False,9.14133236564423e-05
qaplib,chr15b,sfw,1,3,0.0001,13582.0,2011.3623906861405,7990,0.6998748435544431,11916.509962507154,4.9835314311344865,5.2273415859503825,1.0848357300963816,0.1522370974222819,0.09495115995396568,1474.3333333333333,1474.3333333333333,1474.3333333333333,False,0.0
qaplib,chr15b,tos,1,3,0.0001,12929.333333333334,1847.7642947326613,7990,0.618189403420943,12015.489342814639,4.861698587603665,5.1606615766082395,1.3258504254572145,0.20258609453837076,0.02186971544007378,2924.6666666666665,2924.6666666666665,2924.6666666666665,False,6.023267695638638e-05
qaplib,chr12b,sfw,1,3,0.0001,12929.333333333334,1666.044683941247,9742,0.32717443372339705,12019.009325257794,3.1735441552479635,3.3120791900457776,1.0617574991496495,0.07353933652242024,0.009442622158537573,769.3333333333334,769.3333333333334,769.3333333333334,False,0.0
qaplib,chr12b,tos,1,3,0.0001,12422.0,1285.3523511732753,9742,0.27509751591049064,11812.358676505748,3.382406704539467,3.3280993579644087,1.565464492521688,0.15377330780029297,0.04511420197415313,2318.6666666666665,2318.6666666666665,2318.6666666666665,False,0.0001122721191648993
qaplib,bur26e,sfw,1,3,0.0001,5440594.333333333,5445.363185520523,5386879,0.009971512880339994,5439033.197118256,6.585059849274984,6.779049052986292,0.843884427773423,0.0011849403381347656,0.000296226617434978,6.333333333333333,6.333333333333333,6.333333333333333,False,0.0
qaplib,bur26e,tos,1,3,0.0001,5396617.666666667,3247.9164945477823,5386879,0.0018078495296937201,5409513.517400523,4.826566673871116,6.1602468994692865,3.954799912935677,0.6155445575714111,0.03419614654677952,6867.333333333333,6867.333333333333,6867.333333333333,False,1.9274628576898274e-05
qaplib,wil50,sfw,1,3,0.0001,49056.666666666664,88.78938875538876,48816,0.004930077570195515,48891.14904484388,8.553161931543903,9.51825780255661,3.132721109556439,0.04384565353393555,0.015664737530974377,77.66666666666667,77.66666666666667,77.66666666666667,False,0.0
qaplib,wil50,tos,1,3,0.0001,49376.666666666664,69.78697745440924,48816,0.011485305364361362,49123.34570414763,7.020624315172434,8.960785707851606,4.885941428187241,0.8075358072916666,0.015331202971631585,5873.0,5873.0,5873.0,False,1.0146318391682105e-05
qaplib,lipa80a,sfw,1,3,0.0001,255741.66666666666,95.23771428495238,253195,0.010058123843941062,253132.8198784295,10.161851817267442,12.596072426047945,6.409291415390119,1.076733907063802,0.5420284662294508,323.3333333333333,323.3333333333333,323.3333333333333,False,0.0
qaplib,lipa80a,tos,1,3,0.0001,256458.66666666666,32.78549814916481,253195,0.012889933318851703,253707.90451496816,9.3701127473848,12.463050793986083,7.70597275399896,7.375802993774414,1.6086915774944586,9715.666666666666,9715.666666666666,9715.666666666666,False,3.911375408365276e-06
qaplib,tai30a,sfw,1,3,0.0001,1870264.6666666667,9371.15038592144,1818146,0.028665831383544966,1854597.070233834,7.147971128770933,7.571620328425233,1.7547541396170285,0.04122630755106608,0.032947128842920885,140.66666666666666,140.66666666666666,140.66666666666666,False,0.0
qaplib,tai30a,tos,1,3,0.0001,1881231.3333333333,11242.673149903254,1818146,0.034697616876385756,1854497.027545118,6.886130518624529,7.5708654131702,2.333791325672322,0.46361804008483887,0.07717713587104585,4405.333333333333,4405.333333333333,4405.333333333333,False,2.380057009184383e-05
qaplib,lipa30b,sfw,1,3,0.0001,159221.0,11023.794718698276,151426,0.051477289236987044,158664.70566370824,2.2483928547691625,2.3570226039551585,0.6316069332522884,0.038760741551717125,0.050447459510790146,133.33333333333334,133.33333333333334,133.33333333333334,False,0.0
qaplib,lipa30b,tos,1,3,0.0001,151426.0,0.0,151426,0.0,151385.29648272548,0.006264763991965794,0.0,0.006264763991965794,0.14903132120768228,0.03497665447270069,1370.6666666666667,1370.6666666666667,1370.6666666666667,False,0.0002605575411635847
qaplib,tai60b,sfw,1,3,0.0001,641559917.6666666,20463192.008411873,608215054,0.054824134074568015,640307178.4753493,9.335863710069653,10.512485464787229,3.56228278403004,0.028919140497843426,0.009441217002781308,45.0,45.0,45.0,False,0.0
qaplib,tai60b,tos,1,3,0.0001,618269557.0,4190639.3747046124,608215054,0.016531164320704235,620254472.2369367,7.649154308945609,10.391116372285731,6.6574433697376945,1.771727164586385,0.2793924523230896,7589.333333333333,7589.333333333333,7589.333333333333,False,1.803395681698996e-05
qaplib,nug30,sfw,1,3,0.0001,6201.333333333333,21.312489817527705,6124,0.012627912040060913,6161.412132953531,6.534928760360807,7.110062679136623,2.3595699154166745,0.04670421282450358,0.0311382329347302,174.66666666666666,174.66666666666666,174.66666666666666,False,0.0
qaplib,nug30,tos,1,3,0.0001,6198.666666666667,16.679994670929073,6124,0.012192466797300289,6147.605337229589,6.669703242832107,7.4825190359204425,2.8277913317550865,0.4331348737080892,0.126476117283249,4814.666666666667,4814.666666666667,4814.666666666667,False,1.8149981657437577e-05
qaplib,esc16b,sfw,1,3,0.0001,297.3333333333333,0.9428090415820634,292,0.01826484018264834,269.70914133435616,4.632904137421509,5.537101799865234,2.828539635870145,0.13213753700256348,0.005357326189049907,1011.0,1011.0,1011.0,False,0.0
qaplib,esc16b,tos,1,3,0.0001,293.3333333333333,0.9428090415820634,292,0.004566210045662035,268.6354898748775,4.835477952949783,5.5969780246788075,2.549614781336096,0.2468231519063314,0.012589695423066483,3221.0,3221.0,3221.0,False,1.9767064987130564e-05
qaplib,nug12,sfw,1,3,0.0001,618.0,34.09789827345179,578,0.06920415224913495,588.3532739197238,4.234176294582889,4.756698308710764,1.676283426962436,0.07370257377624512,0.05836176893859626,736.3333333333334,736.3333333333334,736.3333333333334,False,0.0
