collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,tai12b,sfw,1,1,,,39464925,0.5413414063247302,49402938.16851161,,,,0.000354766845703125,0.0,3.0,3.0,3.0,False,0.0
qaplib,tai12b,tos-bp-project,1,1,,,39464925,0.32238910880991156,48015178.55722469,,,,1.6070873737335205,0.0,31692.0,31692.0,31692.0,False,0.0
qaplib,esc32c,sfw,1,1,,,642,0.009345794392523364,599.0597804110059,,,,0.1320359706878662,0.0,828.0,828.0,828.0,False,0.0
qaplib,esc32c,tos-bp-project,1,1,,,642,0.006230529595015576,598.0538031115623,,,,0.4303629398345947,0.0,5350.0,5350.0,5350.0,False,1.6320700232700368e-17
qaplib,kra30a,sfw,1,1,,,88900,0.03678290213723285,90485.92753216012,,,,0.06439948081970215,0.0,341.0,341.0,341.0,False,0.0
qaplib,kra30a,tos-bp-project,1,1,,,88900,0.017547806524184476,89572.78079590088,,,,0.2982466220855713,0.0,3675.0,3675.0,3675.0,False,4.831909033821447e-18
qaplib,kra30b,sfw,1,1,,,91420,0.05042660249398381,93614.69269324174,,,,0.05875396728515625,0.0,298.0,298.0,298.0,False,0.0
qaplib,kra30b,tos-bp-project,1,1,,,91420,0.005359877488514548,90554.11582555473,,,,0.7895400524139404,0.0,10585.0,10585.0,10585.0,False,6.591943484044934e-18
qaplib,sko100a,sfw,1,1,,,152002,0.008368310943277063,153187.043699175,,,,0.3216836452484131,0.0,67.0,67.0,67.0,False,0.0
qaplib,sko100a,tos-bp-project,1,1,,,152002,0.02069709609084091,154754.45949025403,,,,4.545430660247803,0.0,6336.0,6336.0,6336.0,False,5.663508851233229e-18
qaplib,esc16i,sfw,1,1,,,14,0.2857142857142857,12.751595011453,,,,0.3666832447052002,0.0,3645.0,3645.0,3645.0,False,0.0
qaplib,esc16i,tos-bp-project,1,1,,,14,0.0,10.001628964149578,,,,0.06121683120727539,0.0,551.0,551.0,551.0,False,1.7606097410752904e-17
qaplib,esc128,sfw,1,1,,,64,0.15625,64.62024209083019,,,,2.976674795150757,0.0,1366.0,1366.0,1366.0,False,0.0
qaplib,esc128,tos-bp-project,1,1,,,64,0.09375,63.35375214197681,,,,4.512108564376831,0.0,4737.0,4737.0,4737.0,False,1.8453693407481253e-12
qaplib,chr15a,sfw,1,1,,,9896,0.6861358124494745,14010.138379743785,,,,0.28745460510253906,0.0,2714.0,2714.0,2714.0,False,0.0
qaplib,chr15a,tos-bp-project,1,1,,,9896,0.18876313662085692,11247.723539589431,,,,0.2459580898284912,0.0,4021.0,4021.0,4021.0,False,0.0
qaplib,lipa40a,sfw,1,1,,,31538,0.025841841587925678,31718.876417880027,,,,0.012285709381103516,0.0,36.0,36.0,36.0,False,0.0
qaplib,lipa40a,tos-bp-project,1,1,,,31538,0.027078445050415373,31629.069826886647,,,,8.738680124282837,0.0,100000.0,100000.0,100000.0,True,5.6165623026053e-17
qaplib,chr20b,sfw,1,1,,,2298,0.350739773716275,2710.7286632831947,,,,0.1271359920501709,0.0,1262.0,1262.0,1262.0,False,0.0
qaplib,chr20b,tos-bp-project,1,1,,,2298,0.4734551784160139,2984.662536913412,,,,0.22049236297607422,0.0,3296.0,3296.0,3296.0,False,0.0
qaplib,scr15,sfw,1,1,,,51140,0.1269065310911224,53835.62668463439,,,,0.06934332847595215,0.0,748.0,748.0,748.0,False,0.0
qaplib,scr15,tos-bp-project,1,1,,,51140,0.1247946812671099,52055.04288477915,,,,0.14015722274780273,0.0,2009.0,2009.0,2009.0,False,8.065560150184096e-18
qaplib,esc16h,sfw,1,1,,,996,0.0,847.8367064664232,,,,0.1544783115386963,0.0,1504.0,1504.0,1504.0,False,0.0
qaplib,esc16h,tos-bp-project,1,1,,,996,0.0,851.635863869937,,,,0.11092138290405273,0.0,1452.0,1452.0,1452.0,False,0.0
qaplib,tai25b,sfw,1,1,,,344355646,0.17779816509818458,405581448.0,,,,0.0008132457733154297,0.0,6.0,6.0,6.0,False,0.0
qaplib,tai25b,tos-bp-project,1,1,,,344355646,0.6486101987710694,557110985.7271585,,,,6.244450092315674,0.0,100000.0,100000.0,100000.0,True,5.8716753907906276e-18
qaplib,had16,sfw,1,1,,,3720,0.004301075268817204,3650.727248926955,,,,0.029938697814941406,0.0,277.0,277.0,277.0,False,0.0
qaplib,had16,tos-bp-project,1,1,,,3720,0.002150537634408602,3648.2713695090397,,,,0.14963603019714355,0.0,2229.0,2229.0,2229.0,False,1.2928613204636396e-17
qaplib,rou15,sfw,1,1,,,354210,0.03579232658592361,364771.51457829576,,,,0.018553495407104492,0.0,154.0,154.0,154.0,False,0.0
qaplib,rou15,tos-bp-project,1,1,,,354210,0.045888032523079526,364497.05862709146,,,,0.13467049598693848,0.0,1917.0,1917.0,1917.0,False,0.0
qaplib,tai15b,sfw,1,1,,,51765268,5.708261570286857,347254958.0,,,,0.00022339820861816406,0.0,1.0,1.0,1.0,False,0.0
qaplib,tai15b,tos-bp-project,1,1,,,51765268,7.1662775511951375,351699669.5337868,,,,0.19490408897399902,0.0,3071.0,3071.0,3071.0,False,0.0
qaplib,esc32b,sfw,1,1,,,168,0.19047619047619047,194.0192844723477,,,,0.05033278465270996,0.0,317.0,317.0,317.0,False,0.0
qaplib,esc32b,tos-bp-project,1,1,,,168,0.14285714285714285,190.8403511388559,,,,0.21332836151123047,0.0,2353.0,2353.0,2353.0,False,1.2228687552211301e-17
qaplib,esc16g,sfw,1,1,,,26,0.3076923076923077,28.002798239697213,,,,0.1920177936553955,0.0,2151.0,2151.0,2151.0,False,0.0
qaplib,esc16g,tos-bp-project,1,1,,,26,0.0,25.342604219943752,,,,0.10483574867248535,0.0,1379.0,1379.0,1379.0,False,5.149909296178409e-18
qaplib,sko42,sfw,1,1,,,15812,0.014925373134328358,15995.055886244985,,,,0.024712085723876953,0.0,65.0,65.0,65.0,False,0.0
qaplib,sko42,tos-bp-project,1,1,,,15812,0.022261573488489755,15906.50081795887,,,,0.49950313568115234,0.0,4867.0,4867.0,4867.0,False,3.798954161736882e-18
qaplib,lipa30a,sfw,1,1,,,13178,0.030960692062528456,13245.100761769554,,,,0.008842945098876953,0.0,34.0,34.0,34.0,False,0.0
qaplib,lipa30a,tos-bp-project,1,1,,,13178,0.03733495219304902,13223.169771504226,,,,7.003499507904053,0.0,100000.0,100000.0,100000.0,True,4.8819807801246e-18
qaplib,had18,sfw,1,1,,,5358,0.0059723777528928705,5274.261384579935,,,,0.025362491607666016,0.0,226.0,226.0,226.0,False,0.0
qaplib,had18,tos-bp-project,1,1,,,5358,0.0029861888764464353,5284.4228744278535,,,,0.21934819221496582,0.0,3399.0,3399.0,3399.0,False,4.8081599363960057e-17
qaplib,lipa20b,sfw,1,1,,,27076,0.0,27076.0,,,,0.008447885513305664,0.0,52.0,52.0,52.0,False,0.0
qaplib,lipa20b,tos-bp-project,1,1,,,27076,0.0,27076.000000000007,,,,0.095733642578125,0.0,1128.0,1128.0,1128.0,False,0.0
qaplib,chr15b,sfw,1,1,,,7990,0.6032540675844806,12134.314039206933,,,,0.07642292976379395,0.0,822.0,822.0,822.0,False,0.0
qaplib,chr15b,tos-bp-project,1,1,,,7990,0.3637046307884856,10252.413840095816,,,,0.16981720924377441,0.0,2632.0,2632.0,2632.0,False,0.0
qaplib,chr12b,sfw,1,1,,,9742,0.6068569082323958,13261.439898824588,,,,0.10712313652038574,0.0,1203.0,1203.0,1203.0,False,0.0
qaplib,chr12b,tos-bp-project,1,1,,,9742,0.19359474440566618,11412.336131838587,,,,0.1583251953125,0.0,2516.0,2516.0,2516.0,False,6.37668287459061e-17
qaplib,bur26e,sfw,1,1,,,5386879,0.06710824579501415,5715742.235702481,,,,0.0011031627655029297,0.0,8.0,8.0,8.0,False,0.0
qaplib,bur26e,tos-bp-project,1,1,,,5386879,0.06351896896143389,5709757.162480808,,,,0.5169858932495117,0.0,7376.0,7376.0,7376.0,False,6.056100608340257e-18
qaplib,wil50,sfw,1,1,,,48816,0.0022123893805309734,48843.3967132581,,,,0.04204893112182617,0.0,71.0,71.0,71.0,False,0.0
